name,quantity,price
Amir's Premium Frozen Meat - Minced Beef,300g,$3.50
San Remo Pasta - Instant Lasagna (Large),250g,$3.25
Marigold UHT Packet Milk - Full Cream,1L,$2.30
SCS Pure Creamery Butter Block - Salted,250g,$5.95
Anchor Pure New Zealand Block Butter - Salted,250g,$4.90
Perfect Italiano Cheese - Mozzarella (Grated),250g,$6.45
Perfect Italiano Cheese - Parmesan (Grated),100g,$5.10
Maggi Tomato Sauce,475g,$1.75
MasterFoods Spices - Cloves (Whole),20g,$7.44
Pansalt Lower Sodium Mineral Salt,215g,$3.87
Pagoda Pure Cooking Sea Salt,1kg,$2.95
FairPrice White Pepper - Ground,50g,$2.70
McCormick Spices - Garlic Powder,88g,$8.95
FairPrice Black Pepper - Coarse,80g,$4.45
ReaLemon 100% Lemon Bottle Juice,240ml,$3.35
Naturel Olive Oil - Pure,2L,$21.90
Borges Olive Oil - Extra Light,1L,$15.20
Chef China Garlic - Pure White,500g,$2.40
Chef Red Onion - Large,700g,$1.35
Chef Yellow Onion - Large,700g,$1.45
Gold Green Capsicum,300g,$1.65
Seng Choon Lower Cholesterol Eggs - Large,630g (10 per pack),$2.90
AL-Baqa Frozen Minced Beef,500g,$5.85
Kelly's Sausages - Italian Bockwurst,200g (2 per pack),$3.45
