name,ingredients,steps,total_time,servings
"Best Big, Fat, Chewy Chocolate Chip Cookie","['2 cups all-purpose flour', '1/2 teaspoon baking soda', '1/2 teaspoon salt', '3/4 cup unsalted butter- melted', '1 cup packed brown sugar', '1/2 cup white sugar', '1 tablespoon vanilla extract', '1 egg', '1 egg yolk', '2 cups semisweet chocolate chips']","['Preheat the oven to 325 degrees F (165 degrees C). Grease cookie sheets or line with parchment paper.', 'Sift together the flour, baking soda and salt; set aside.', 'In a medium bowl, cream together the melted butter, brown sugar and white sugar until well blended. Beat in the vanilla, egg, and egg yolk until light and creamy. Mix in the sifted ingredients until just blended. Stir in the chocolate chips by hand using a wooden spoon. Drop cookie dough 1/4 cup at a time onto the prepared cookie sheets. Cookies should be about 3 inches apart.', 'Bake for 15 to 17 minutes in the preheated oven, or until the edges are lightly toasted. Cool on baking sheets for a few minutes before transferring to wire racks to cool completely.']",40 m,18
Chef John's Lasagna,"['1 pound bulk Italian sausage', '1 1/2 pounds lean ground beef', '1 (8 ounce) package fresh mushrooms- coarsely chopped', '1 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '1/2 teaspoon dried Italian herb seasoning (optional)', '1/4 teaspoon red pepper flakes', '6 cups prepared marinara sauce', '2 tablespoons water- plus more as needed', '2 eggs', '2 pounds whole-milk ricotta cheese', '1 (8 ounce) container fresh mozzarella cheese- diced', '2/3 cup freshly shredded Parmigiano-Reggiano cheese', '1 teaspoon salt', '1/4 teaspoon freshly ground black pepper', '1 pinch cayenne pepper- or to taste', '1/4 cup chopped fresh parsley', '1 (16 ounce) package lasagna noodles', '1 (8 ounce) container fresh mozzarella cheese- diced', '1/2 cup freshly shredded Parmigiano-Reggiano cheese']","['Place sausage and ground beef into a large saucepan over medium heat; cook and stir until meat is browned and crumbly, about 10 minutes. Break the meat apart as it cooks. Stir in mushrooms, 1 teaspoon salt, 1/2 teaspoon black pepper, Italian herb seasoning, and red pepper flakes. Turn heat to medium-high and cook until mushrooms have given off their juices and bottom of pan is almost dry.', 'Pour prepared marinara sauce into meat mixture. Pour water into marinara sauce jar and shake to get all the sauce out of the jar; add to mixture. Reduce heat to low and simmer until meat is extremely tender, about 2 hours. Add a little more water if sauce becomes too thick. Skim excess fat from surface of the sauce and season with more salt and black pepper, if needed. Turn off heat.', 'Preheat oven to 375 degrees F (190 degrees C).', 'Beat eggs in a large bowl and stir in ricotta cheese, 8 ounces diced mozzarella cheese, and 2/3 cup Parmigiano-Reggiano cheese. Season cheese mixture with 1 teaspoon salt, 1/4 teaspoon  black pepper, and cayenne pepper; mix in parsley.', 'Bring a large pot of salted water to a boil. Cook lasagna in the boiling water, stirring occasionally, until cooked through but firm to the bite, about 8 minutes. Drain and rinse noodles and set aside in a bowl of cold water.', 'Spread 1/4 the sauce into the bottom of a 10x15-inch baking pan. Top with 1/3 the noodles and spread 1/2 the ricotta cheese mixture over noodles. Spread 1/4 the meat sauce over the cheese, top with 1/3 the noodles, and spread remaining 1/2 the ricotta mixture over the noodles. Spread 1/4 the meat sauce over the cheese filling. Tap the casserole dish lightly on a sturdy work surface to settle the layers. Arrange last 1/3 the noodles over sauce and spread remaining 1/4 the sauce over the noodles. Dot top of the casserole with 4 ounces diced fresh mozzarella cheese and sprinkle with 1/2 cup Parmigiano-Reggiano cheese.', 'Cover casserole with aluminum foil, being sure not to touch the top of the casserole with the foil. Place casserole onto a baking sheet to catch spills.', 'Bake in the preheated oven for 30 minutes. Remove foil and cook until lasagna is golden brown and bubbling, 30 to 35 more minutes. Let set for 20 minutes before cutting into squares.']",3 h 25 m,12
Hainanese Chicken Rice,"['1 (3 pound) whole chicken', 'salt to taste', 'water to cover', '1 onion- halved (skin on)', '8 cloves garlic- peeled', '1 (1 inch) piece fresh ginger- sliced', 'salt and ground white pepper to taste', 'Rice:', '3 cups long-grain white rice', '5 cloves garlic- sliced', '1 (1/2 inch) piece fresh ginger- sliced', '2 teaspoons oil', '5 pandan leaves- knotted', 'Dipping Sauces:', '3 fresh red chile peppers- halved and seeded', '1 lime- juiced- or as needed', '4 cloves garlic- peeled', '1 slice fresh ginger', 'Garnish:', '10 leaves lettuce- or as desired', '1 cucumber- peeled and sliced', '1 tomato- sliced', '1 tablespoon light soy sauce', '1 teaspoon sesame oil']","['Remove fat from the chicken and reserve it for later use. Season chicken, inside and out, with salt.', 'Bring a large pot of water to a boil; add chicken, onion, 8 garlic cloves, sliced 1-inch piece ginger, salt, and white pepper. Bring liquid back to a boil, reduce heat, and simmer until chicken is fully cooked, 20 to 25 minutes. An instant-read thermometer inserted into the thickest part of the thigh, near the bone should read 165 degrees F (74 degrees C).', 'Carefully remove chicken and plunge into a large bowl of ice water until cooled. Remove chicken, dry, and cut chicken into bite-size pieces. Strain chicken broth and reserve liquid.', 'Wash and drain rice.', 'Heat reserved chicken fat in a skillet over medium heat; cook and stir 5 sliced garlic cloves and sliced 1/2-inch piece ginger until fragrant, about 1 minute. Add rice and oil; cook and stir until rice is coated in oil. Pour in enough reserved chicken broth to cook rice, about 6 cups. Add pandan leaves. Cover skillet and cook rice until tender and broth is absorbed, 20 to 30 minutes.', 'Pound red chile peppers using a mortar and pestle, adding a small amount of salt, until peppers transform into a fine paste. Stir enough lime juice into paste to make smooth; transfer to a serving dish.', 'Pound 4 garlic cloves and 1 slice ginger using a mortar and pestle until paste is formed; transfer to a separate serving dish.', 'Place lettuce leaves on a serving plate and arrange cucumber slices and tomatoes around dish. Place the chicken pieces in the center. Mix soy sauce and sesame oil together in a bowl; pour over chicken. Serve a bowl of reserved chicken broth on the side with a bowl of rice and the 2 dipping sauces.']",1 h 15 m,8
Baked Teriyaki Chicken,"['1 tablespoon cornstarch', '1 tablespoon cold water', '1/2 cup white sugar', '1/2 cup soy sauce', '1/4 cup cider vinegar', '1 clove garlic- minced', '1/2 teaspoon ground ginger', '1/4 teaspoon ground black pepper', '12 skinless chicken thighs']","['In a small saucepan over low heat, combine the cornstarch, cold water, sugar, soy sauce, vinegar, garlic, ginger and ground black pepper. Let simmer, stirring frequently, until sauce thickens and bubbles.', 'Preheat oven to 425 degrees F (220 degrees C).', 'Place chicken pieces in a lightly greased 9x13 inch baking dish. Brush chicken with the sauce. Turn pieces over, and brush again.', 'Bake in the preheated oven for 30 minutes. Turn pieces over, and bake for another 30 minutes, until no longer pink and juices run clear. Brush with sauce every 10 minutes during cooking.']",1 h 30 m,6
Cheese Enchiladas,"['1 (15 ounce) can tomato sauce', '1 (6 ounce) can tomato paste', '2 teaspoons Creole-style seasoning', '1 (12 ounce) package corn tortillas', '1 (8 ounce) package Cheddar cheese- shredded- divided', '1 onion- diced', '1 (6 ounce) can sliced ripe olives', '1 (6 ounce) can sliced mushrooms']","['Preheat oven to 350 degrees F (175 degrees C).', 'In a medium bowl combine tomato sauce, tomato paste and Creole-style seasoning.', 'Warm tortillas in microwave, or in oven; dip them in the tomato sauce mixture and lay them in a 9x13 inch casserole dish.  Fill each tortilla with cheese, onion, olives and mushrooms; roll.  Repeat until dish is full.  Sprinkle a small amount of cheese on top.', 'Bake in preheated oven for 25 to 30 minutes, or until cheese is melted and bubbly.']",50 m,7
Beef Bulgogi,"['1 pound flank steak- thinly sliced', '5 tablespoons soy sauce', '2 1/2 tablespoons white sugar', '1/4 cup chopped green onion', '2 tablespoons minced garlic', '2 tablespoons sesame seeds', '2 tablespoons sesame oil', '1/2 teaspoon ground black pepper']","['Place the beef in a shallow dish.  Combine soy sauce, sugar, green onion, garlic, sesame seeds, sesame oil, and ground black pepper in a small bowl.  Pour over beef.  Cover and refrigerate for at least 1 hour or overnight.', 'Preheat an outdoor grill for high heat, and lightly oil the grate.', 'Quickly grill beef on hot grill until slightly charred and cooked through, 1 to 2 minutes per side.']",1 h 15 m,4
Beef Bulgogi,"['1 pound flank steak- thinly sliced', '5 tablespoons soy sauce', '2 1/2 tablespoons white sugar', '1/4 cup chopped green onion', '2 tablespoons minced garlic', '2 tablespoons sesame seeds', '2 tablespoons sesame oil', '1/2 teaspoon ground black pepper']","['Place the beef in a shallow dish.  Combine soy sauce, sugar, green onion, garlic, sesame seeds, sesame oil, and ground black pepper in a small bowl.  Pour over beef.  Cover and refrigerate for at least 1 hour or overnight.', 'Preheat an outdoor grill for high heat, and lightly oil the grate.', 'Quickly grill beef on hot grill until slightly charred and cooked through, 1 to 2 minutes per side.']",1 h 15 m,4
Sweet and Sour Pork Tenderloin,"['1 (1 1/4 pound) pork tenderloin- trimmed of silver skin', 'salt and ground black pepper', '1/3 cup ketchup', '1/3 cup seasoned rice vinegar', '1 (8 ounce) can pineapple chunks- drained with juice reserved', '2 tablespoons brown sugar', '4 cloves garlic- minced', '2 teaspoons hot chili sauce (such as Sriracha®)', '1 teaspoon soy sauce', '1 pinch red pepper flakes', '1 tablespoon vegetable oil', '1 teaspoon butter', '1/4 cup chopped green onion (white part only)', '2 tablespoons chopped green onion tops']","['Cut tenderloin into 4 pieces. Arrange in a single layer between two sheets of plastic wrap and pound with a meat mallet until each is about 1-inch thick. Generously season with salt and black pepper.', 'Whisk ketchup, rice vinegar, reserved pineapple juice, brown sugar, garlic, hot chili sauce, soy sauce, and red pepper flakes in a bowl. Set aside.', 'Heat vegetable oil in a skillet over high heat. Place pork in pan; reduce heat to medium. Cook until browned on both sides and cooked through, 5 to 6 minutes per side. Transfer to a plate.', 'Return skillet to medium heat. Stir butter into hot pan. When butter melts and starts to brown, stir in pineapple chunks. Cook, stirring, until pineapple is golden brown, 3 to 4 minutes.', 'Stir in ketchup mixture and 1/4 cup green onion (white parts). Reduce heat to low and simmer until garlic and onion have softened, 5 minutes.', 'Return pork to skillet; cook, stirring, until pork is heated through. Garnish with 2 tablespoons green onion tops.']",55 m,4
Indian Chicken Curry I,"['8 bone-in chicken breast halves- skinless', 'salt and pepper to taste', '1 tablespoon olive oil', '2 onions- peeled and quartered', '1 teaspoon finely chopped fresh ginger root', '1 teaspoon crushed garlic', '1 tablespoon hot (Madras) curry powder', '1 (15 ounce) can tomato sauce', '1 (10 ounce) can coconut milk', '4 whole cloves', '4 pods cardamom', '1 cinnamon stick', 'salt to taste']","['Rinse chicken and pat dry; season with salt and pepper to taste. Heat oil in a large skillet over medium high heat, then saute chicken until browned. Remove chicken from skillet and set aside.', 'Saute onions in skillet until translucent; add ginger and garlic and saute until fragrant, then stir in curry powder.', 'Return chicken to skillet and add tomato sauce, coconut milk, cloves, cardamom and cinnamon stick. Season with salt to taste and stir all together.', 'Reduce heat to low and simmer until chicken is tender and cooked through (no longer pink inside), about 20 to 25 minutes.']",45 m,6
Samosas,"['2 cups all-purpose flour', '1/2 teaspoon salt', '2 tablespoons butter', '1/4 cup water', '1 quart oil for deep frying', '2 tablespoons butter', '1 small onion- chopped', '2 cloves garlic- chopped', '2 green chile peppers- chopped', '1 tablespoon fresh ginger root- chopped', '1/2 teaspoon ground turmeric', '1/2 teaspoon chili powder', '3/4 pound ground lamb', '1 teaspoon salt', '2 teaspoons garam masala', '1 1/2 tablespoons fresh lemon juice']","['In a medium bowl, mix flour, salt and butter until the mixture resembles fine bread crumbs. Pour in water, using more (up to approximately 1/4 cup) if necessary to make a smooth dough. Pat into a ball. Place on a lightly floured surface and knead 10 minutes, or until dough is smooth and elastic. Return to the bowl, cover and set aside.', 'Heat oil in a large, deep skillet to 375 degrees F (190 degrees C).', 'Melt butter in a medium saucepan over medium high heat. Stir in onion, garlic, green chile peppers and ginger. Cook 5 minutes, or until onions are golden brown. Stir in turmeric, chili powder, ground lamb and salt. Cook until the lamb meat is evenly brown, about 10 minutes. Stir in garam masala and lemon juice. Continue cooking 5 minutes, then remove from heat.', 'Divide dough into 15 equal portions. Roll portions into balls, then flatten into 4 inch circles. Cut each circle in half. Dampen edges and form semicircles into cones. Fill cones with equal portions of the lamb meat mixture. Dampen top and bottom edges of cones, and pinch to seal.', 'Carefully lower cones into preheated oil a few at a time. Fry until golden brown, 2 to 3 minutes. Drain on paper towels. Serve warm.']",50 m,30
